,type,lyrics
0,1,just got home from illinois lock the front door oh boy got to sit down take a rest on the porch imagination sets in pretty soon i'm singin doot doot doo lookin out my back door there's a giant doin cartwheels a statue wearin high heels look at all the happy creatures dancin on the lawn dinosaur victrola listenin to buck owens doot doot doo lookin out my back door tambourines and elephants are playin in the band won't you take a ride on the flyin spoon doot doo doo wondrous apparition provided by magician doot doot doo lookin out my back door tambourines and elephants are playin in the band won't you take a ride on the flyin spoon doot doo doo bother me tomorrow today i'll buy no sorrows doot doot doo lookin out my back door you might also like forward troubles illinois lock the front door oh boy look at all the happy creatures dancin on the lawn bother me tomorrow today i'll buy no sorrows doot doot doo lookin out my back door
1,1,crouched down by the tree at his neighbors he liked the way the bark ripped off like paper he pretended he was superman eyes had lasers every step he took turned earth into craters little brown jacket lee jeans with a cuff bowl cut blue and yellow mismatched chucks he's a sitting duck didn't hear the car pull up thought his arm broke when they shoved him in the trunk brake light night light choking on his tear snot fear not summarize the voice within an earshot muffled through the seats stale smoke he can hear scott- heron singing  home is where the hatred is home is where they took him from and he don't know who's taken him puffy eyes pissed pants sore throat scream like a whisper fists beat the backseat every time he whimpers he can see his own breath it's the middle of the winter x- men hologram card that was in his coat a single source of hope as they speedin up the road he traded comics for it he got a sleeve for its protection he's just glad he got it with him it's his one possession he miss his mom's affection he miss the dinosaur blanket on the bed that he slept in miss throwing sticks so the dog would go fetch em missed makin forts in the woods with his best friend you might also like car stops door slams wonders who he is he just doesn't understand chafed legs denim tears piss vomit wishing he could change into his blue pajamas superman logo with a cape on it then maybe he'd escape into space like a comet he hears an engine's sputter fatigued from the travel he listens as footsteps grind in the gravel maybe he can leave if he promise not to tattle the trunk wasn't eden but he knew he was the apple streetlights flooded as the trunk popped open hoping for a relief or a reason he was chosen lurking was a silhouette with unfamiliar hands now he's a shaking mess carried cause he couldn't stand bluish glow of television flickers in a stairwell led into a lair he got sick from how the air smells he's with his parents in his brain this is their hell he felt the worry in his bones he don't fare well against these monsters in this crypt in this hidden jail all this time passed i'm still scared that i'm there still all these fucking years i just don't remember all this fucking time i just don't remember did i lose my mind i just don't remember did i die am i lying i just don't remember all these fucking years i just don't remember all this fucking time i just don't remember did i lose my mind i just don't remember did i die am i lying i just don't remember all these fucking years i just don't remember all this fucking time i just don't remember did i lose my mind i just don't remember did i die am i lying i just don't remember was there a life before the one i know now was i lost and just never ever found was i found and then forced to forget just a secret that nobody can admit was there a life before the one i know now was i lost and just never ever found was i found and then forced to forget just a secret that nobody can admit all these fucking years i just don't remember all this fucking time i just don't remember did i lose my mind i just don't remember did i die am i lying i just don't remember all these fucking years i just don't remember all this fucking time i just don't remember did i lose my mind i just don't remember did i die am i lying i just don't remember all these fucking years i just don't remember all this fucking time i just don't remember did i lose my mind i just don't remember did i die am i lying i just don't remember all these fucking years i just don't remember
2,1,my neighbour's knocking and i open carefully he looks a bit like ron jeremy he's screaming at me damn you little albatraoz while he smells like chips and calvadaoz he said what the hell is going on what is the goddamn growl that ain't no sound of rock n roll i said i'm so sorry but i got this thing i have to show that might be good for you to know so i brought him inside don't know why but then suddenly he just passed out i thought well alright can't deny that i got a llama in my living room a llama in my living room a llama in my llama in my llama in my llama in my llama in my llama in my llama in my i got a llama in my living room i got a a llama in my living room i got a a llama in my living room a llama in my living room you might also like i saw my little neighbour shaking on the floor i've never seen a man like that before he didn't even make it through my kitchen door he must have thought it was a dinosaur then he opened up his eyes screaming  i'ma kill that thing then his big arm started to swing i tried to calm him down told him take it easy now it's just my llama named chow chow then he raced up he said what i said i'm sorry but i just can't stop now you know what what i got that i got a llama in my living room a llama in my living room a llama in my llama in my llama in my llama in my i got a llama in my living room i got a a llama in my living room i got a i got a llama in my living room a llama in my living room a llama in my living room
3,0,you are now tuned into the tomb of jehova play my tunes loud enough to shake the room what's the hold up heard the world is ending soon i assumed that they told ya they tryna dinosaur us so now it's time to go up the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher the roof is on fire she wet like barbra streisand police everywhere it's like a nigga killed a white man i just wanna find a baby mama fore the night end so don't be coming round vince on that batter ram shit on that  shit need a misses brown as missy i can have some fun with them slave bones make grace jones don't stop bitch stay focused they hated on us since days of moses let my people go crazy them stars falling don't chase em you might also like the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher attack on iraq it's on a line typing it fast then it's slipping my mind oh when i'm drunk i'm spirited back i fall in a fire then i save myself then i get advantage cause the feeling's so raw in these times of sedition well nothing is dull and i'm moving into stillness and recalling it all and i’m a lover just a lover just a lover just a lover just a- the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher all these liberated women sitting in my lap i'm finna catch a body like i got a gun and badge i'm finna turn { obama} to my partner fore he dash pull up to the pad wipe my ass with the flag i'm just playing baby this the land of the free where you can get a glock and a gram for the cheap where you can live your dreams long as you don't look like me be a puppet on a string hanging from a fucking tree aghh the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher the sky's falling baby drop that ass fore it crash higher the sky's falling baby falling baby falling higher
4,1,born into competition with a feeling that something's missing bred in a corn addiction with a synthetic composition on the brink of a civil war or the forming of one religion i wonder what came first dinosaurs or darwinism pledging allegiance to a flag since elementary writing curses in cursive and casting spells stung by the spelling bee and they says congratulations you graduated from slavery to paid slavery you actually made it here take this gown and cap and wave it like a celebration of going to school just to get a job to pay for it like a nation that traded it's minerals in exchange for paper payment here these are your gods you have to praise em i wonder who we'd worship if we weren't captured and traded consider this my affidavit yo it's the ruling class here to rule yo ass prescription drug thug cocaine mule yo ass agricultural skills sure would suit yo ass but they say living off the land is a useless path here work for dead presidents h a fooled yo ass any revolutionaries they remove yo ass fast click clack quick blast in a flash whiplash from the kickback of the impact push yo shit back as long as my head is intact i'll be as political as i want because i get taxed nah this ain't no fuckin diss track to distract or useless chit chat or syntax or who's ass is this fat and who has a six pack who's batting this average or compare his passes to his passes there's a thousand sports channels you can get this package or this package who's this savage hey let's compare your emotional baggage to my emotional baggage and see who calls each other bitch fastest haters go out they way to fuck up my day but i ain't even worried about your bitch asses and it's quite the optic hard to take your eyes off it they make the sky toxic prescribe the antibiotic make a high profit divide the margin you could die off it if you do they hide the autopsy what the fuck are you supposed to do morgellons in your kosher food what the fuck is even kosher food third generation crops won't produce be careful who you keep close to you i'm from atlanta but shots out to my oakland crew they say  bobby ray the older you is overdue i say hey sorry i got a little caught up exposing truths i used to think what would hova do now i think what the fuck would macho man and hulk hogan do now if steve austin was america and the rock was afghanistan then russia and china would be triple h h h and the illuminati would be vince macmahon now when the haters are the undertaker the crowd doesn't stand a chance when the international bankers are walking through the stands slide yo ass some xan you think you a fan but you really just a lamb niggas start trends every day but don't never get no pair of vans what the fuck is an advance niggas live on colored people time what the fuck is in advance tsh i don't fucking understand i just want my fucking bandz i'm a walking talking human conundrum like a muslim going h a m looking for the promised land false stories of christopher columbus holding pocahontas hand black history is the shortest month i just hope you understand when the native indians don't get shit but thanksgiving and some yams like here here's a few casinos huhh sorry we took all your land huhh well let's just move on because america's great man i fucking love it democratic or republic lightning rod change the subject all of these religions i'm glad i found one all of these beliefs and mine's the right one trying to process all this info you hide from till you wake the fuck up out on the advice son culture and religion condition your mind hon whatever's prohibited imma defy them the smell of freedom is making my eyes run to authority i'm the antithesis i'm not a pacifist or a philantropisist i don't got all the answersises i just got a louder mic and better stanzasas bitch oh i'm sorry did i offend you what the fuck you think goes on in schools you send your kids to what the fuck you think they serve for lunch what's on the menu that's why only ratchet shit is what these kids is into a language comprehendable friends do what they friends do people act so fucking hard but really they just gentle psychological children grownups with issues grownups with children who grow up with issues cancer tissues abandonment  misuse subliminal marketing screaming  here let me fix you i have the cure i have the remedy i am the savior i am not the enemy but give me your money give me your money give me your money everybody's in debt but this is a free country they dock your pay what a mockery why you on the clock hickory dickory dockery they want cable they want coffee they want comedy anything to take they mind off being property trying to say it properly working on my tact but i am the anomaly they know i'm the shit like a elio-colonoscopy they know i'm the shit by just looking at my discography they know i've been sent to awake this idiocracy mass media hipocrisy turn you into a worker bee harvest the honey tree i'm just being honest b mother earth quakes underneath father sky up above the sea god the father the sky son of god the sun amun ra the eye no more amen no more folding hands goodbye adios au revoir bandz you might also like
5,0,"ten-hut officer on deck salute salute salute yo bombageddon hard-head descendants jarhead in the trenches scar heads relentless you came with farmers locksmiths and fools czar—what's your occupation wroof anytime i'm spittin the floor rock the spell's so strong i catch hate from wizards and warlocks boom-bap ambassador track master hot as africa sand movin bodies like a human trafficker what i'm stompin to harder than an inmate on a conjugal launchin you with rocket fuel live at the barbecue rebel i- n- s provide a spark for you and i ain't even dig into my arsenal—don't take it personal you know the biz and you know this is thoughts so much force i'm like yoda's twin fire i break a sweat in the coldest wind i'm bad news they gon notify your closest kin  c z a r!""— d o o m""— c z a r!""— d o o m c z a r!""— d o o m you might also like c z a r!""— d o o m""— c z a r!""— d o o m c z a r!""— d o o m  who the fudge is this look the supervillain—a maniacal tyrant hear footsteps adapt to your environment jungle all you suckers with the rap jargon the type of rap you find on a rack at a bargain type of crap probably get em smacked off the margin willis reed  knicks at the garden new york this ain't no new talk true talk t m z and fake beef is the new pork filthy regurgitate tape him up lay him down increase the murder rate no no no not that dude— i heard he straight wack rappers get spit on through the pearly gates final straw ask em what they rhymin for death waits right behind the door like a dinosaur on a line of raw tryna find a cure d o o o m  c z a r!""— d o o m""— c z a r!""— d o o m c z a r!""— d o o m c z a r!""— d o o m""— c z a r!""— d o o m c z a r!""— d o o m  the czar it was a shit-show from the get-go every hero needs a villain weave a web like steve ditko to get dough they thirsty word to big diplo they tip-toe minions round the giant with the sick flow no no i wouldn't provoke em they call him conor mc gregor the way he's fookin outspoken in a trial by combat let's do ten paces cesspool erases deadpool their faces deck d o o m and seamus—rec rooms and stages you gamble with your health med schools and vegas i miss that old shit rappers used to be stupid def now they just stupid and deaf i stay around bread like twisty ties look  up in the sky c z a r f a c e stick the superhero landing extra fly my mind's scattered but the bars rule so many voices in my head that every ride's a carpool unbelievable"
6,1,girl you want a uh um uh you want a maniac wunna flow wunna flow wunna flow wunna flow wunna flow wunna flow wunna flow wunna flow benz galore bentley store  bentley store i just went bought her some his and hers hop out this shit and hop in a coupe ventador drive while the doors down jump out that bitch and i raise the roof niggas be cappin they rat in they raps i'm yak gotti slatt gotti got the proof big black drac i call that hypnotic and what's in my pocket i got them blues talk what you talkin boy that ain't you ride with some weenies you gettin used birthday cake see me i got the juice live maybach black so my life ain't a movie if we ridin two deep both of us shoot em take him for the ride he gettin scooped don't be surprised when i finish you yo career is over boy you finished dude sent a thousand on shots they extended fool see gunna live get tickets as low as $ you might also like wunna flow wunna flow wunna flow wunna flow gotta go delete your bitch ass like  adiós y s l nigga i'm like the pope spin your whole block go and stop he thought we done yeah we stopped and go no back and forth watch and goin forth wunna flow wunna flow wunna flow wunna flow wunna flow wunna flow wunna flow wunna flow i'm a big stepper like dinosaur eat all the prey like a carnivore we go and pray to the jesus lord don't make me pull your card spent two hunna racks for the bulletproof  two hunna that bitch is so nasty she like betty boop  nasty i hit from the back had the pussy loose  ooh her fingernails holdin her toes down i fuck her with stamina y s l some mothafuckin animals we done broke out the zoo  out the zoo board the jet i'm bout change up the altitude  high sip a  of codeine not a apple juice  mud your lil boy that's why call you the capper crew  cap put it on might teach you a thing or two  lil thing or two trap for fun fuck all in this avenue  yeah young gun wun and yak gotti stackin loose  yak gotti wunna flow wunna flow my bitches like ubers they come and go  come and go a young dripper rulin the fashion show  fashion show f n bout to wrap in the cardio wunna flow wunna flow uh no kids but your bitch call me  daddy- o  dad used to sit back and trap on the patio  yeah now we travel the world fuck the baddest hoes i can't function was geeked off a xanny dose no discussion we bustin your cantaloupe they be lustin and lovin with a camel toe i had nothin then came up off of wunna flow  wunna flow wunna flow wunna flow wunna flow wunna flow gotta go delete your bitch ass like  adiós y s l nigga i'm like the pope spin your whole block go and stop he thought we done yeah we stopped and go no back and forth watch you goin forth wunna flow wunna flow wunna flow wunna flow wunna flow wunna flow wunna flow wunna flow i'm a big stepper like dinosaur eat all the prey like a carnivore we go and pray to the jesus lord don't make me pull your card
7,0,zaytoven ayy zay we gon call this one spy kid yeah get out my lab dee dee know you love me cause these v vs i changed the forecast i be icy-cy all the young niggas grew up wanna be me you can act like it bitch i know you see me  bang bang bang told her pull up the creamy she say she don't eat meat but i made her eat me yeah yeah  skrrt skrrt once you call up got the heated seats  skrrt skrrt mobbin like it's a& e we runnin from a to z yeah everything they say is make believe she thirsty for me like christmas eve tear the bitch down like a christmas tree  bang mmhmm these niggas ain't sweet they bittersweet swear the life i'm livin a dream had her drink semen and i'm on lean  lean  ayy sosa what you see i spy a hatin ass nigga over there  i spy i spy a bitch that don't got no hair  i spy i spy a fake ass bubble moncler  i spy i spy a kid that wanna live a dream  i spy i spy a fuckin dinosaur o m g  i spy i spy the view of the city yeah  i spy i spy these thots some pretty yeah  i spy i spy bitch ass niggas over there  shhh you might also like i spy niggas actin like they jewels so real  shhh ohh i spy my bitch movin on for real  shhh i spy ffr ffr another couple mil i spy another opp leave his ass spilled  shhh made him sign a non-disclosure business can't spill  shhh i spy jill ass fallin off a hill  shhh i spy niggas ain't rollin like the wheels  shhh i spy i see bitches lookin at me  lookin at me i speed on my way to get that green  skrt i see the galaxy in satellite  satellite i seen your ho later that night i see why she like me she like me because i be icy  bling i be breaking the law ain't ice- t  ice- t i spy your bitch cookin for me told that ho to make that shit spicy  spicy he send a message through his wifey talkin bout he don't like me tell that nigga to fight me  fight me sosa you high i might be rockin all that fake shit you'sa fake ass hypebeast  ayy sosa what you see i spy a hatin ass nigga over there  shh i spy i spy a bitch that don't got no hair  i spy shh no hair bitch i spy a fake ass bubble moncler  i spy shh fake ass shit i spy a kid that wanna live a dream  i spy i spy a fuckin dinosaur o m g  i spy i spy the view of the city yeah  shh i spy i spy these thots some pretty yeah  i spy i spy bitch ass niggas over there
8,0,yeah hahahaha whoo shit mmm oh oh mmm ehh ehh aight guess what i ain't comin in yet oh oh ooh ooh i'll come in a minute ayo this is my love song it goes like this hey yeah back when mark wahlberg was marky mark  fuckin faggot this is how we used to make the party start we used to mix hen with bacardi dark and when it kicks in you can hardly talk and by the sixth gin you're gon probably crawl and you'll be sick then and you'll probably barf and my prediction is you're gon probably fall either somewhere in the lobby or the hallway wall and everything's spinnin you're beginnin to think women are swimmin in pink linen again in the sink then in a couple of minutes that bottle of guinness is finished you are now allowed to officially slap bitches you have the right to remain violent and start wilin start a fight with the same guy that was smart-eyein you get in your car start it and start drivin over the island and cause a -car pile-up earth calling pilot to co-pilot looking for life on this planet sir no sign of it all i can see is a bunch of smoke flyin and i'm so high that i might die if i go by it let me outta this place i'm outta place i'm in outer space i've just vanished without a trace i'm going to a pretty place now where the flowers grow i'll be back in an hour or so you might also like ‘ cause every time i go to try to leave  whoa something keeps pullin on my sleeve  whoa i don't wanna but i gotta stay  whoa these drugs really got a hold of me  whoa)‘ cause every time i try to tell em no  no they won't let me ever let em go  go i'm a sucker all i gotta say  whoa these drugs really got a hold of me  whoa in third grade all i used to do was sniff glue through a tube and play rubik's cube seventeen years later i'm as rude as jude schemin on the first chick with the hugest boobs i've got no game and every face looks the same they've got no name so i don't need game to play i just say whatever i want to whoever i want whenever i want wherever i want however i want however i do show some respect to few this ecstasy's got me standin next to you gettin sentimental as fuck spillin guts to you we just met but i think i'm in love with you but you're on it too so you tell me you love me too wake up in the morning like  yo what the fuck we'd do i gotta go bitch you know i got stuff to do‘ cause if i get caught cheatin then i'm stuck with you but in the long run these drugs are probably gonna catch up sooner or later but fuck it i'm on one so let's enjoy let the x destroy your spinal cord so it's not a straight line no more til we walk around lookin like some wind-up dolls shit's stickin out of our backs like a dinosaur shit six hits won't even get me high no more so bye for now i'm gonna try to find some more ‘ cause every time i go to try to leave  whoa something keeps pullin on my sleeve  whoa i don't wanna but i gotta stay  whoa these drugs really got a hold of me  whoa)‘ cause every time i try to tell em no  no they won't let me ever let em go  go i'm a sucker all i gotta say  whoa these drugs really got a hold of me  whoa that's the sound of a bottle when it's hollow when you swallow it all wallow and drown in your sorrow and tomorrow you're probably gonna wanna do it again what's a little spinal fluid between you and a friend screw it and what's a little bit of alcohol poisonin and what's a little fight tomorrow you'll be boys again it's your life live it however you wanna mari-ju-ana is everywhere where was you brought up it don't matter as long as you get where you're goin'‘ cause none of this shit's gonna mean shit where we're goin they tell you to stop but you just sit there ignorin even though you wake up feelin like shit every mornin but you're young you've got a lot of drugs to do girls to screw parties to crash sucks to be you if i could take it all back now i wouldn't i would have did more shit that people said that i shouldn't but i'm all grown up now and upgraded and graduated to better drugs and updated but i still got a lotta growing up to do i still got a whole lotta throwing up to spew but when it's all said and done i'll be forty before i know it with a  on the porch tellin stories with a bottle of jack two grandkids in my lap babysittin for hailie while hailie's out gettin smashed ‘ cause every time i go to try to leave  whoa something keeps pullin on my sleeve  whoa i don't wanna but i gotta stay  whoa these drugs really got a hold of me  whoa)‘ cause every time i try to tell em no  no they won't let me ever let em go  go i'm a sucker all i gotta say  whoa these drugs really got a hold of me  whoa ‘ cause every time i go to try to leave  whoa something keeps pullin on my sleeve  whoa i don't wanna but i gotta stay  whoa these drugs really got a hold of me  whoa)‘ cause every time i try to tell em no  no they won't let me ever let em go  go i'm a sucker all i gotta say  whoa these drugs really got a hold of me  whoa drugs really got a hold of me really got a hold of me these drugs really got a hold of me they really got a hold of me
9,0,you know what i'm sayin like real talk man like niggas ain't know about no molly's til niggas brung it to the to the table yeah nigga like right harve pierre niggas wasn't sayin no cokeboy coke boy  shakedown what it be like this motherfuckin round table big baller baby breaking down this fresh package endorsed by so mean bad boy headquarter your motherfuckin boy montana r n s real nigga shit red talk to em wooooooooooo shakedown ay eh ay aye i strapped up i hit the block  hann french said they need fish-scale i hit the docks  hann i punch in my card bout  o'clock  hann wizard in the kitchen magic when it hit the pot  hann lately i find more ho niggas than hoes  woo i ice my watch hopin time get froze i'm a coke boyy hello hello hello hello pardon my g if that sounded sentimental  hann heavy-metal i bang in every ghetto  hann shakedown baby everything is a go  hann gucci down to my toes louis vuitton luggage rapped the th on the bridge hopped out said fuck it  hann i grind non-stop even when it's snowin cuz i ain't goin broke like the nigga terrell owens  woo they know i been a shooter no longer count money i measure stacks with a ruler i am the new ruler  hann brooklyn till they kill me forever keep it filthy  hann got rich cuz my motherfuckin work look milky  hann i love my niggas forever though  hann and that white girl never let her go you might also like i i i i i i i  i i be so high  i be so high and that bullshit don't bother me  don't bother me i i i i i i i  i real niggas fo life real niggas fo life i'm outchea livin sucker free i i i i i i i  i i be so high  i be so high and that bullshit don't bother me  don't bother me i i i i i i i  i real niggas fo life real niggas fo life i'm outchea livin sucker free uhhh devil red maserati call the reverend on em  uhhh gave em my whole life but certain shit i never told em  nah choppin the pavement on them blades  what most niggas get they shot hardship is but a phase  yeah ballin on that hard top know they hear my screechin j's genius on that stove top work cut  different ways  ways in life there's  degrees of separation  yeah fear leads to hesitation  yeah rose from the project gutters boy that's elevation  that's right pick the pace up on them niggas that's acceleration  wassup my ensembles elegant boy that's ellen tracy i fucked the game  times now i'm yellin trace em  that's right you see them green and white diamond boy that's segregation  feel me now top naked engine revvin tell them niggas race me  vroom your main bitch my reflection all she do is face me  drugz all the money and the fame and the fornication  yeah they say my mental is a gun but i broke the safety i i i i i i i  i i be so high  i be so high and that bullshit don't bother me  don't bother me i i i i i i i  i real niggas fo life real niggas fo life i'm outchea livin sucker free i i i i i i i  i i be so high  i be so high and that bullshit don't bother me  don't bother me i i i i i i i  i real niggas fo life real niggas fo life i'm outchea livin sucker free uhhh rappin never been part of the plan  nah gettin bricks  kevin durant man it is what it be's beads mardi gras  new orleans you know i beez in the trap ask nicki mar  wooo been doing this shit here since ye tall  han gettin head from her when ye called i made it nigga  made it nigga you hated nigga  hated nigga you dinosaur niggas outdated nigga  han i seen a snow mountain i skate it nigga this the aftermath you shady nigga cradle to the grave make a caesar out your braids got a kilo of that haze and we all smokin i i i i i i i  i i be so high  i be so high and that bullshit don't bother me  don't bother me i i i i i i i  i real niggas fo life real niggas fo life i'm outchea livin sucker free i i i i i i i  i i be so high  i be so high and that bullshit don't bother me  don't bother me i i i i i i i  i real niggas fo life real niggas fo life i'm outchea livin sucker free i i i i i i i i ohhhhh i been had this hustle all in my veins for so long have you ever felt that way i i i i i i i i ohhhhh i feel like i wanna give it all away for so long i'm a cokeboy ima ima cokeboy have you ever felt that way i i i i i i i  i i be so high  i be so high and that bullshit don't bother me  don't bother me i i i i i i i  i real niggas fo life real niggas fo life i'm outchea livin sucker free i i i i i i i  i i be so high  i be so high and that bullshit don't bother me  don't bother me i i i i i i i  i real niggas fo life real niggas fo life i'm outchea livin sucker free
